timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780662008.653567,TIMEOUT,582,1,
1780662008.6539955,SEND,582,2,
1780662008.6567926,ACK,582,2,0.0027971267700195312
1780662008.660247,SEND,583,1,
1780662008.660878,ACK,583,1,0.0006308555603027344
1780662008.6614525,SEND,584,1,
1780662008.662466,ACK,584,1,0.0010135173797607422
1780662008.6631176,SEND,585,1,
1780662008.6638231,ACK,585,1,0.0007054805755615234
1780662008.664568,SEND,586,1,
1780662010.6879754,TIMEOUT,586,1,
1780662010.6884186,SEND,586,2,
1780662010.6921926,ACK,586,2,0.003773927688598633
1780662010.696134,SEND,587,1,
1780662010.6975398,ACK,587,1,0.0014057159423828125
1780662010.699428,SEND,588,1,
1780662012.7035744,TIMEOUT,588,1,
1780662012.703991,SEND,588,2,
1780662012.708168,ACK,588,2,0.004177093505859375
1780662012.7115722,SEND,589,1,
1780662012.7129781,ACK,589,1,0.001405954360961914
1780662012.7139122,SEND,590,1,
1780662012.7147474,ACK,590,1,0.0008351802825927734
1780662012.716417,SEND,591,1,
1780662012.7185571,ACK,591,1,0.002140045166015625
1780662012.7199275,SEND,592,1,
1780662012.7209241,ACK,592,1,0.0009965896606445312
1780662012.7217803,SEND,593,1,
1780662014.7367592,TIMEOUT,593,1,
1780662014.7372031,SEND,593,2,
1780662014.7411563,ACK,593,2,0.003953218460083008
1780662014.744464,SEND,594,1,
1780662014.7453275,ACK,594,1,0.0008635520935058594
1780662014.7463179,SEND,595,1,
1780662014.7475493,ACK,595,1,0.0012314319610595703
1780662014.7486813,SEND,596,1,
1780662014.7538128,ACK,596,1,0.00513148307800293
1780662014.7586465,SEND,597,1,
1780662014.75931,ACK,597,1,0.0006635189056396484
1780662014.7598894,SEND,598,1,
1780662014.7608461,ACK,598,1,0.0009567737579345703
1780662014.7616196,SEND,599,1,
1780662014.7622502,ACK,599,1,0.0006306171417236328
1780662014.762716,SEND,600,1,
1780662014.7632465,ACK,600,1,0.0005304813385009766
1780662014.763886,SEND,601,1,
1780662014.7643263,ACK,601,1,0.00044035911560058594
1780662014.764838,SEND,602,1,
